epoch metrics/precision(B) metrics/recall(B) metrics/mAP50(B) metrics/mAP50-95(B)
144 0.8014 0.7522 0.82231 0.69843
145 0.77801 0.77964 0.82015 0.68566
146 0.7663 0.74436 0.78809 0.66634
147 0.75416 0.80928 0.82574 0.6954
148 0.80639 0.79893 0.83836 0.70141
149 0.82934 0.73014 0.81745 0.6871
150 0.81155 0.78103 0.82468 0.70024
151 0.80223 0.79123 0.8409 0.70964
152 0.73548 0.80379 0.82402 0.69584
153 0.7735 0.7919 0.82634 0.69262
154 0.81122 0.7572 0.82743 0.69572
155 0.76462 0.76891 0.8107 0.69759
156 0.74271 0.81072 0.8199 0.69719
157 0.78742 0.75228 0.81724 0.69187
158 0.76503 0.80082 0.83463 0.71324
159 0.78062 0.78393 0.83442 0.70953
160 0.79766 0.75658 0.81533 0.68947
161 0.75685 0.73306 0.80143 0.68276
162 0.7775 0.70686 0.79647 0.67324
163 0.76278 0.74658 0.81497 0.68974
164 0.76678 0.78956 0.82132 0.70297
165 0.74406 0.7597 0.80925 0.68387
166 0.75461 0.81475 0.83118 0.69855
167 0.82152 0.76311 0.82561 0.69532
168 0.81626 0.76767 0.83441 0.70723
169 0.75615 0.80666 0.83226 0.70846
170 0.80681 0.76711 0.8317 0.70133
171 0.7906 0.78991 0.83079 0.69898
172 0.79243 0.76443 0.82029 0.69399
173 0.74148 0.81082 0.82554 0.69409
174 0.8133 0.74068 0.81903 0.70045
175 0.8024 0.76172 0.83537 0.70323
176 0.80402 0.75782 0.84114 0.71326
177 0.80665 0.75979 0.82612 0.70374
178 0.81083 0.8125 0.83784 0.70842
179 0.78896 0.7851 0.82568 0.69559
180 0.77286 0.79779 0.83776 0.70464
181 0.78124 0.76419 0.81823 0.69625
182 0.80338 0.76921 0.81188 0.68971
183 0.80362 0.75973 0.825 0.70167
184 0.79641 0.75942 0.82123 0.69813
185 0.80249 0.77443 0.82737 0.70442
186 0.78564 0.80647 0.83613 0.71667
187 0.81898 0.78188 0.83885 0.7176
188 0.7932 0.78211 0.83709 0.71553
189 0.80204 0.78867 0.83218 0.71043
190 0.79312 0.78489 0.81939 0.69831
191 0.79957 0.81068 0.83404 0.71177
192 0.76525 0.81008 0.8387 0.71811
193 0.83919 0.74733 0.84118 0.71842
194 0.79481 0.77374 0.81401 0.69509
195 0.76456 0.8087 0.81914 0.69829
196 0.80094 0.77715 0.82011 0.6993
197 0.78602 0.80952 0.83413 0.71186
198 0.74987 0.80564 0.82809 0.71223
199 0.80986 0.7757 0.82325 0.70343
200 0.80198 0.78069 0.84346 0.71965
201 0.78693 0.80613 0.84025 0.71704
202 0.78696 0.79063 0.83275 0.7141
203 0.79341 0.79046 0.84316 0.72307
204 0.73766 0.81206 0.82031 0.69831
205 0.79304 0.79785 0.83492 0.7141
206 0.74516 0.81624 0.83055 0.71328
207 0.80284 0.76797 0.83105 0.71268
208 0.81248 0.78377 0.84905 0.72693
209 0.81391 0.77848 0.84761 0.72652
210 0.77565 0.78434 0.83032 0.71252
211 0.81827 0.77949 0.84154 0.72206
