epoch metrics/precision(B) metrics/recall(B) metrics/mAP50(B) metrics/mAP50-95(B)
144 0.80442 0.73149 0.82453 0.69749
145 0.77628 0.79788 0.82864 0.70184
146 0.73686 0.79887 0.80987 0.68553
147 0.80112 0.78614 0.8312 0.70377
148 0.74911 0.82652 0.81257 0.69685
149 0.73557 0.80918 0.81026 0.68321
150 0.75734 0.77249 0.81731 0.69084
151 0.79515 0.77557 0.80954 0.69026
152 0.77778 0.7616 0.8045 0.68626
153 0.77099 0.7868 0.81386 0.69029
154 0.78415 0.75705 0.81161 0.68009
155 0.79368 0.78953 0.82799 0.70152
156 0.77364 0.80923 0.8267 0.69435
157 0.76263 0.78724 0.80438 0.67328
158 0.80339 0.79382 0.83549 0.71117
159 0.755 0.79192 0.82561 0.6969
160 0.78988 0.77207 0.81463 0.69066
161 0.79064 0.74783 0.81144 0.68867
162 0.76491 0.73238 0.78936 0.66217
163 0.77339 0.79085 0.82585 0.6991
164 0.71386 0.82883 0.81566 0.68772
165 0.76089 0.80918 0.81953 0.68583
166 0.75618 0.79243 0.82028 0.69573
167 0.74363 0.80066 0.80714 0.68173
168 0.79183 0.76826 0.82771 0.70233
169 0.81355 0.75769 0.81217 0.69474
170 0.79438 0.76696 0.79931 0.67665
171 0.79856 0.77152 0.82252 0.70089
172 0.78993 0.75731 0.81123 0.68746
173 0.75697 0.81711 0.81724 0.68962
174 0.75883 0.79519 0.81891 0.69001
175 0.76469 0.77714 0.82163 0.69304
176 0.73346 0.80444 0.81761 0.68754
177 0.74678 0.80845 0.80794 0.689
178 0.77977 0.82023 0.82479 0.69448
179 0.76468 0.81226 0.82221 0.69
180 0.80505 0.77859 0.83339 0.70574
181 0.80797 0.77546 0.83722 0.70947
182 0.79766 0.79807 0.82726 0.704
183 0.80894 0.77488 0.83337 0.71024
184 0.74484 0.787 0.81923 0.69995
185 0.80297 0.7923 0.83161 0.70591
186 0.78676 0.79539 0.82756 0.70304
187 0.77871 0.76061 0.81559 0.69678
188 0.79676 0.76858 0.83483 0.70781
